time_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.000000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.010000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.020000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.030000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.040000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.050000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.060000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.070000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.080000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.090000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.100000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.110000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.120000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.130000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.140000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.150000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.160000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.170000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.180000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.190000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.200000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.210000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.220000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.230000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.240000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.250000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.260000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.270000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.280000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.290000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.300000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.310000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.320000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.330000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.340000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.350000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.360000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.370000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.380000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.390000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.400000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.410000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.420000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.430000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.440000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.450000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.460000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.470000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.480000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.490000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.500000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.510000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.520000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.530000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.540000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.550000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.560000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.570000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.580000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.590000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.600000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.610000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.620000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.630000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.640000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.650000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.660000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.670000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
0.680000,9.838141,0.216749,1.233435,-0.023976,0.005040,0.000611
