time_s,model_desiredCurvature,model_desiredAcceleration,laneLeft_prob,laneRight_prob,laneLeft_y,laneRight_y,laneChangeState,laneChangeDirection,aTarget,shouldStop,hasLead,fcw,longPlanSource
0.000000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.050000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.100000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.150000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.200000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.250000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.300000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.350000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.400000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.450000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.500000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.550000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.600000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.650000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.700000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.750000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.800000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.850000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.900000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
0.950000,-0.010061,,0.031976,0.033176,-1.683609,1.690663,off,none,1.423029,0,0,0,cruise
