time_s,model_desiredCurvature,model_desiredAcceleration,laneLeft_prob,laneRight_prob,laneLeft_y,laneRight_y,laneChangeState,laneChangeDirection,aTarget,shouldStop,hasLead,fcw,longPlanSource
0.000000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.050000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.100000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.150000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.200000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.250000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.300000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.350000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.400000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.450000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.500000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.550000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.600000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.650000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.700000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.750000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.800000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.850000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.900000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
0.950000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.000000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.050000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.100000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.150000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.200000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.250000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.300000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.350000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.400000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.450000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.500000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.550000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.600000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.650000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.700000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.750000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.800000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.850000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.900000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
1.950000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.000000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.050000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.100000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.150000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.200000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.250000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.300000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.350000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.400000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.450000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.500000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.550000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.600000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.650000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.700000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.750000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.800000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.850000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.900000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
2.950000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.000000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.050000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.100000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.150000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.200000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.250000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.300000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.350000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.400000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
3.450000,-0.178266,,0.025906,0.026068,-1.709968,1.566158,off,none,0.717220,0,0,0,cruise
